"","value_var","var","value_food_safety","prob","sum","weight"
"6","Gran Buenos aires","urban_aglom2","unsafety",0.328970331588133,0.917684700407214,0.358478605388273
"21","AMBA","region","unsafety",0.328970331588133,0.917684700407214,0.358478605388273
"68","precarious_employm","head_house_empl","some_unsafety",0.275450843513671,0.769051774287376,0.358169440242057
"86","Inquilino","housing_tenure","some_unsafety",0.149214659685864,0.419720767888307,0.355509355509355
"76","Varón","head_house_sex","safety",0.754799301919721,2.12449098312973,0.355284775465498
"69","precarious_employm","head_house_empl","unsafety",0.271669575334497,0.769051774287376,0.353252647503782
"66","inactive","head_house_empl","unsafety",0.22803955788249,0.646887725421757,0.352517985611511
"31","PAMPEANA","region","safety",0.263816172193136,0.751890634089587,0.350870406189555
"16","Resto Urbano Interior","urban_aglom4","safety",0.259744037230948,0.746655031995346,0.347876899104012
"33","PAMPEANA","region","unsafety",0.259453170447935,0.751890634089587,0.345067698259188
"2","Ciudades del Interior (con Rosario)","urban_aglom2","some_unsafety",0.716986620127981,2.08231529959279,0.344321832658192
"50","Hogar familiar nuclear completo","home_type1","some_unsafety",0.49738219895288,1.45229784758581,0.342479471259764
"38","Con niños","minors_in_home","some_unsafety",0.694880744618965,2.04188481675393,0.34031339031339
"77","Varón","head_house_sex","some_unsafety",0.719604421175102,2.12449098312973,0.338718510405257
"64","inactive","head_house_empl","safety",0.216986620127981,0.646887725421757,0.335431654676259
"22","CUYO","region","safety",0.153577661431065,0.46044211751018,0.333543903979785
"1","Ciudades del Interior (con Rosario)","urban_aglom2","safety",0.694299011052938,2.08231529959279,0.333426456208968
"4","Gran Buenos aires","urban_aglom2","safety",0.305700988947062,0.917684700407214,0.333122028526149
"19","AMBA","region","safety",0.305700988947062,0.917684700407214,0.333122028526149
"29","NOA","region","some_unsafety",0.170157068062827,0.516870273414776,0.329206527855937
"47","Hogar familiar extendido","home_type1","some_unsafety",0.301337987201862,0.91564863292612,0.329097839898348
"13","Otras Áreas Metropolitanas","urban_aglom4","safety",0.43455497382199,1.33566026759744,0.325348432055749
"3","Ciudades del Interior (con Rosario)","urban_aglom2","unsafety",0.671029668411867,2.08231529959279,0.32225171113284
"74","Mujer","head_house_sex","some_unsafety",0.280395578824898,0.875509016870273,0.320265780730897
"41","Sin niños","minors_in_home","some_unsafety",0.305119255381035,0.958115183246073,0.318457802064359
"14","Otras Áreas Metropolitanas","urban_aglom4","some_unsafety",0.421175101803374,1.33566026759744,0.315331010452962
"65","inactive","head_house_empl","some_unsafety",0.201861547411286,0.646887725421757,0.31205035971223
"90","Propietario","housing_tenure","unsafety",0.580279232111693,1.86067481093659,0.311864936689073
"11","Conurbano Bonaerense","urban_aglom4","some_unsafety",0.236183827806864,0.757707969749855,0.311708253358925
"43","Hogar familiar compuesto","home_type1","safety",0.0203606748109366,0.0654450261780105,0.311111111111111
"25","NEA","region","safety",0.0776614310645724,0.251018033740547,0.309385863267671
"5","Gran Buenos aires","urban_aglom2","some_unsafety",0.283013379872019,0.917684700407214,0.308399366085578
"20","AMBA","region","some_unsafety",0.283013379872019,0.917684700407214,0.308399366085578
"78","Varón","head_house_sex","unsafety",0.650087260034904,2.12449098312973,0.305996714129244
"32","PAMPEANA","region","some_unsafety",0.228621291448517,0.751890634089587,0.304061895551257
"53","Hogar familiar nuclear incompleto","home_type1","some_unsafety",0.119255381035486,0.394415357766143,0.3023598820059
"89","Propietario","housing_tenure","some_unsafety",0.556137289121582,1.86067481093659,0.298890104736595
"10","Conurbano Bonaerense","urban_aglom4","safety",0.224549156486329,0.757707969749855,0.296353166986564
"27","NEA","region","unsafety",0.0741710296684119,0.251018033740547,0.295480880648899
"8","Ciudad de Buenos Aires","urban_aglom4","some_unsafety",0.0468295520651542,0.159976730657359,0.292727272727273
"67","precarious_employm","head_house_empl","safety",0.221931355439209,0.769051774287376,0.28857791225416
"73","Mujer","head_house_sex","safety",0.245200698080279,0.875509016870273,0.280066445182724
"24","CUYO","region","unsafety",0.128272251308901,0.46044211751018,0.278584965255843
"62","full_employment","head_house_empl","some_unsafety",0.241419429901105,0.87434554973822,0.276114437791085
"28","NOA","region","safety",0.141070389761489,0.516870273414776,0.272931907709623
"51","Hogar familiar nuclear completo","home_type1","unsafety",0.390634089586969,1.45229784758581,0.268976567194072
"80","sec_school_compl","head_house_educa","some_unsafety",0.262943571844095,0.981384525887144,0.267931238885596
"46","Hogar familiar extendido","home_type1","safety",0.244618964514252,0.91564863292612,0.26715374841169
"37","Con niños","minors_in_home","safety",0.542757417102967,2.04188481675393,0.265811965811966
"44","Hogar familiar compuesto","home_type1","some_unsafety",0.0171611401977894,0.0654450261780105,0.262222222222222
"18","Resto Urbano Interior","urban_aglom4","unsafety",0.191099476439791,0.746655031995346,0.255940786910791
"52","Hogar familiar nuclear incompleto","home_type1","safety",0.0959860383944154,0.394415357766143,0.243362831858407
"87","Inquilino","housing_tenure","unsafety",0.100349040139616,0.419720767888307,0.239085239085239
"82","sec_school_incompl","head_house_educa","safety",0.457242582897033,2.01861547411286,0.226512968299712
"60","Hogar unipersonal","home_type1","unsafety",0.0325770796974985,0.152705061082024,0.213333333333333
"42","Sin niños","minors_in_home","unsafety",0.195753344968005,0.958115183246073,0.204310868245294
"9","Ciudad de Buenos Aires","urban_aglom4","unsafety",0.0319953461314718,0.159976730657359,0.2
"63","full_employment","head_house_empl","unsafety",0.161431064572426,0.87434554973822,0.184630738522954
"81","sec_school_compl","head_house_educa","unsafety",0.175683536940081,0.981384525887144,0.179016004742146
"91","Tenencia informal","housing_tenure","safety",0.105584642233857,0.719604421175102,0.146725949878739
"70","unemployed","head_house_empl","safety",0.089586969168121,0.709714950552647,0.126229508196721
"36","PATAGONIA","region","unsafety",0.00349040139616056,0.102094240837696,0.0341880341880342
"57","Hogar multipersonal no familiar","home_type1","unsafety",0,0.0194880744618965,0
